"patch1.before","patch2.before","patch1.after","patch2.after","patch1.other.before","patch2.other.before"
62,48,63,47,68,23
75,40,67,48,72,14
84,49,82,51,77,28
83,53,80,56,76,14
91,54,89,56,67,23
74,41,72,43,78,21
77,53,76,54,92,16
84,46,78,52,60,21
67,62,70,59,71,19
80,51,76,55,77,23
88,47,85,50,77,20
76,63,77,62,82,21
71,60,68,63,78,25
85,57,80,62,59,20
94,51,92,53,74,23
84,52,79,57,74,16
79,50,77,52,54,21
93,38,89,42,68,14
69,51,69,51,71,13
73,55,68,60,73,21
83,59,81,61,79,14
72,55,72,55,65,24
74,41,70,45,67,26
80,54,77,57,76,13
75,57,75,57,77,20
67,53,62,58,79,17
83,52,83,52,63,19
76,57,80,53,69,14
89,53,87,55,78,24
73,59,72,60,70,19
79,57,79,57,71,13
72,60,72,60,69,27
70,41,71,40,81,14
72,59,73,58,73,16
91,46,90,47,82,17
78,54,75,57,62,22
71,56,70,57,80,24
88,47,87,48,81,24
78,45,80,43,65,16
70,57,69,58,72,10
83,50,82,51,66,21
70,45,67,48,61,25
81,49,76,54,68,14
87,56,83,60,59,20
87,52,88,51,67,23
83,44,82,45,78,20
90,57,86,61,76,18
72,47,67,52,58,15
96,50,96,50,66,30
75,73,75,73,82,22
68,57,67,58,59,16
72,56,66,62,67,22
70,49,68,51,59,26
84,45,80,49,68,17
69,47,68,48,56,14
90,50,86,54,65,20
94,64,92,66,65,14
90,50,88,52,63,22
78,44,77,45,78,16
83,56,81,58,66,25
78,59,78,59,75,18
76,44,71,49,77,14
81,45,77,49,55,15
83,53,86,50,72,15
94,49,91,52,54,20
65,50,63,52,75,26
80,41,79,42,57,14
96,58,94,60,68,27
67,50,63,54,65,18
84,44,80,48,72,23
87,42,85,44,72,18
67,55,67,55,68,23
90,45,89,46,75,21
77,52,74,55,70,14
84,57,79,62,64,18
80,38,79,39,81,21
62,61,61,62,52,26
71,43,69,45,69,17
80,44,81,43,67,19
86,63,81,68,56,18
87,53,82,58,79,18
71,45,70,46,74,19
76,43,72,47,77,19
88,47,84,51,70,21
66,55,65,56,60,22
60,55,59,56,67,22
87,39,89,37,62,17
76,48,71,53,101,22
95,47,91,51,69,25
80,46,77,49,85,20
74,53,72,55,64,23
76,50,74,52,74,17
84,44,82,46,64,21
94,53,90,57,73,25
88,54,86,56,52,13
71,62,71,62,67,22
73,51,73,51,53,14
79,57,75,61,65,26
87,35,84,38,59,17
98,55,95,58,76,23
73,46,67,52,69,26
71,51,68,54,71,21
74,43,70,47,67,19
75,46,75,46,73,12
